habían  	 141
bisabuelos  	 1
tomadas  	 1
orín  	 1
llenas  	 8
moho  	 3
luengos  	 6
siglos  	 16
estaban  	 82
puestas  	 11
olvidadas  	 1
rincón  	 6
limpiólas  	 1
aderezólas  	 1
vió  	 31
tenían  	 40
falta  	 48
celada  	 20
encaje  	 5
sino  	 319
morrión  	 6
simple  	 17
suplió  	 1
cartones  	 1
media  	 22
encajada  	 1
hacía  	 51
apariencia  	 6
entera  	 12
probar  	 12
fuerte  	 32
estar  	 68
riesgo  	 4
cuchillada  	 7
sacó  	 20
golpes  	 17
deshizo  	 4
hecho  	 153
dejó  	 53
parecerle  	 11
mal  	 248
facilidad  	 21
pedazos  	 22
asegurarse  	 1
peligro  	 41
tornó  	 18
hacer  	 318
nuevo  	 66
poniéndole  	 5
barras  	 2
hierro  	 11
dentro  	 26
quedó  	 72
satisfecho  	 16
fortaleza  	 12
querer  	 49
nueva  	 26
experiencia  	 26
ella  	 385
diputó  	 2
finísima  	 1
luego  	 226
cuartos  	 3
real  	 23
tachas  	 2
gonela  	 1
tantum  	 1
pellis  	 1
et  	 1
ossa  	 1
fuit  	 1
bucéfalo  	 1
alejandro  	 6
babieca  	 5
igualaban  	 1
cuatro  	 68
pasaron  	 18
imaginar  	 14
qué  	 234
podría  	 55
sí  	 112
bueno  	 48
estuviese  	 16
conocido  	 25
procuraba  	 9
acomodársele  	 1
declarase  	 4
quien  	 307
antes  	 133
fuese  	 112
entones  	 1
puesto  	 168
mudando  	 2
señor  	 413
estado  	 62
mudase  	 2
estruendo  	 11
convenía  	 16
orden  	 53
profesaba  	 1
después  	 119
muchos  	 88
nombres  	 12
formó  	 4
borró  	 1
quitó  	 25
añadió  	 11
memoria  	 81
llamar  	 24
rocinante  	 120
parecer  	 81
alto  	 22
sonoro  	 1
significativo  	 3
ahora  	 202
rocines  	 1
quiso  	 101
ponérsele  	 1
duró  	 3
ocho  	 14
cabo  	 63
queda  	 33
dicho  	 180
tomaron  	 4
ocasión  	 76
esta  	 322
verdadera  	 32
debía  	 59
quisieron  	 9
acordándose  	 2
valeroso  	 34
contentado  	 3
llamarse  	 8
secas  	 1
reino  	 65
patria  	 8
hacerla  	 6
famosa  	 10
llamó  	 9
añadir  	 6
suyo  	 58
suya  	 32
declaraba  	 7
vivo  	 22
linaje  	 17
limpias  	 4
confirmándose  	 1
faltaba  	 14
cosa  	 281
dama  	 26
enamorarse  	 1
árbol  	 7
hojas  	 8
fruto  	 5
alma  	 67
decíase  	 1
yo  	 955
malos  	 20
mis  	 170
pecados  	 7
buena  	 191
suerte  	 89
encuentro  	 7
ahí  	 29
ordinario  	 10
les  	 188
acontece  	 1
derribo  	 1
parto  	 4
mitad  	 59
finalmente  	 44
venzo  	 2
rindo  	 1
¿no  	 41
será  	 111
quién  	 83
enviarle  	 1
presentado  	 1
hinque  	 1
rodillas  	 15
ante  	 22
dulce  	 14
señora  	 240
diga  	 16
voz  	 81
humilde  	 6
rendida  	 5
soy  	 113
caraculiambro  	 1
ínsula  	 21
malindrania  	 1
venció  	 3
singular  	 5
batalla  	 43
debe  	 82
alabado  	 3
cual  	 401
mandó  	 24
presentase  	 1
merced  	 399
disponga  	 1
mí  	 150
talante  	 14
¡oh  	 62
cómo  	 113
holgó  	 2
hubo  	 70
discurso  	 40
halló  	 45
cree  	 5
cerca  	 44
moza  	 24
labradora  	 11
anduvo  	 6
enamorado  	 39
entiende  	 7
supo  	 33
cata  	 3
llamábase  	 4
aldonza  	 5
lorenzo  	 7
título  	 17
buscándole  	 4
desdijese  	 1
tirase  	 2
encaminase  	 2
princesa  	 44
llamarla  	 3
dulcinea  	 90
toboso  	 60
natural  	 43
músico  	 11
peregrino  	 4
demás  	 73
cosas  	 180
2  	 1
salida  	 15
ingenioso  	 3
hechas  	 12
prevenciones  	 5
aguardar  	 11
apretándole  	 1
pensaba  	 44
tardanza  	 7
agravios  	 12
deshacer  	 8
tuertos  	 6
enderezar  	 3
sinrazones  	 4
enmendar  	 1
abusos  	 1
mejorar  	 1
deudas  	 1
satisfacer  	 8
persona  	 69
intención  	 57
nadie  	 67
viese  	 26
mañana  	 38
día  	 126
uno  	 176
calurosos  	 1
mes  	 10
julio  	 1
armó  	 2
todas  	 166
subió  	 18
puesta  	 17
compuesta  	 6
embrazó  	 5
tomó  	 49
puerta  	 40
falsa  	 8
corral  	 21
salió  	 38
grandísimo  	 16
contento  	 59
alborozo  	 1
cuánta  	 6
dado  	 76
principio  	 36
apenas  	 51
asaltó  	 1
terrible  	 12
dejar  	 61
comenzada  	 1
empresa  	 19
armado  	 24
conforme  	 12
ley  	 11
caballería  	 90
ningún  	 35
qeu  	 11
fuera  	 155
llevar  	 51
blancas  	 8
novel  	 4
escudo  	 13
hasta  	 212
esfuerzo  	 8
ganase  	 4
hicieron  	 44
titubear  	 3
propósito  	 24
pudiendo  	 9
locura  	 43
propuso  	 10
armar  	 3
topase  	 2
imitación  	 9
limpiarlas  	 1
teniendo  	 11
fuesen  	 33
armiño  	 1
quietó  	 1
prosiguió  	 27
camino  	 120
otro  	 250
quería  	 51
creyendo  	 19
consistía  	 3
fuerza  	 81
yendo  	 10
caminando  	 5
flamante  	 1
aventurero  	 9
hablando  	 15
consigo  	 25
diciendo  	 103
¿quién  	 40
venideros  	 6
tiempos  	 22
ciando  	 1
luz  	 22
famosos  	 14
hechos  	 24
sabio  	 26
escribiere  	 1
ponga  	 10
llegue  	 13
contar  	 18
rubicundo  	 1
apolo  	 4
tendido  	 15
faz  	 3
ancha  	 3
espaciosa  	 2
doradas  	 2
hebras  	 2
hermosos  	 5
cabellos  	 25
pequeños  	 4
pintados  	 2
pajarillos  	 2
arpadas  	 1
lenguas  	 8
saludado  	 2
meliflua  	 1
armonía  	 2
venida  	 13
rosada  	 1
aurora  	 1
dejando  	 24
blanda  	 7
cama  	 24
celoso  	 5
marido  	 34
puertas  	 12
balcones  	 2
manchego  	 5
horizonte  	 1
mortales  	 4
mostraba  	 21
ociosas  	 1
plumas  	 2
comenzó  	 72
caminar  	 17
antiguo  	 7
montiel  	 3
caminaba  	 5
dichosa  	 5
siglo  	 5
dichoso  	 8
adonde  	 46
saldrán  	 4
famosas  	 5
hazañas  	 33
mías  	 17
dignas  	 9
entallarse  	 1
bronce  	 5
esculpirse  	 2
mármoles  	 4
pintarse  	 1
tablas  	 5
futuro  	 1
tú  	 130
encantador  	 13
quienquiera  	 10
seas  	 6
tocar  	 9
coronista  	 2
peregrina  	 3
ruégote  	 3
te  	 340
olvides  	 1
compañero  	 17
mío  	 91
caminos  	 24
carreras  	 3
volvía  	 14
verdaderamente  	 22
cautivo  	 41
corazón  	 49
habedes  	 5
fecho  	 18
despedirme  	 3
reprocharme  	 1
riguroso  	 3
afincamiento  	 3
mandarme  	 1
plégaos  	 1
membraros  	 1
vuestro  	 78
sujeto  	 14
tantas  	 78
cuitas  	 1
amor  	 80
padece  	 8
ensartando  	 3
enseñado  	 5
imitando  	 4
cuanto  	 140
lenguaje  	 4
despaico  	 1
sol  	 33
entraba  	 2
apriesa  	 13
ardor  	 3
bastante  	 15
derretirle  	 1
sesos  	 1
algunos  	 65
tuviera  	 19
caminó  	 1
acontecerle  	 1
desesperaba  	 5
poerque  	 1
quisiera  	 40
topar  	 3
dicen  	 56
avino  	 5
puerto  	 17
lápice  	 3
molinos  	 9
viento  	 27
he  	 248
podido  	 13
averiguar  	 7
hallado  	 35
anales  	 2
anochecer  	 3
hallaron  	 21
cansados  	 4
muertos  	 3
hambre  	 20
mirando  	 30
descubriría  	 1
majada  	 4
pastores  	 26
recogerse  	 2
pudiese  	 33
remediar  	 7
mucha  	 116
necesidad  	 31
lejos  	 33
venta  	 111
viera  	 6
estrella  	 8
portales  	 1
alcázares  	 1
redención  	 1
encaminaba  	 1
dióse  	 1
anochecía  	 3
acaso  	 32
mujeres  	 30
mozas  	 5
llaman  	 32
cuales  	 80
iban  	 32
sevilla  	 13
unos  	 60
arrieros  	 9
noche  	 107
acertaron  	 2
jornada  	 9
parecía  	 59
pasar  	 61
representó  	 7
torres  	 3
chapiteles  	 1
luciente  	 4
plata  	 4
faltarle  	 1
puente  	 5
levadizo  	 1
honda  	 3
cava  	 4
adherentes  	 4
castillos  	 6
pintan  	 1
llegando  	 23
trecho  	 11
detuvo  	 9
riendas  	 14
esperando  	 19
enano  	 5
pusiese  	 14
almenas  	 2
señal  	 22
trompeta  	 3
tardaban  	 1
llegar  	 40
caballeriza  	 8
distraídas  	 1
parecieron  	 4
hermosas  	 8
doncellas  	 22
graciosas  	 2
damas  	 20
delante  	 70
solazando  	 1
sucedió  	 29
porquero  	 1
andaba  	 35
recogiendo  	 6
rastrojos  	 1
manada  	 4
puercos  	 3
perdón  	 11
tocó  	 1
cuerno  	 18
cuya  	 38
recogen  	 2
instante  	 20
vieron  	 36
venir  	 58
miedo  	 30
entrar  	 40
coligiendo  	 1
huida  	 3
alzándose  	 3
visera  	 4
papelón  	 1
descubriendo  	 3
polvoso  	 1
gentil  	 16
reposada  	 5
dijo  	 816
non  	 8
fuyan  	 1
vuestras  	 42
mercedes  	 39
nin  	 1
teman  	 1
desaguisado  	 8
ca  	 1
órden  	 2
profeso  	 5
toca  	 28
atañe  	 4
facerle  	 1
altas  	 14
presencias  	 1
demuestran  	 1
mirábanle  	 2
andaban  	 17
ojos  	 128
mala  	 70
encubría  	 3
oyeron  	 20
profesión  	 15
pudieron  	 13
risa  	 26
correrse  	 1
decirles  	 3
parece  	 116
mesura  	 1
fermosas  	 4
sandez  	 5
además  	 7
leve  	 1
causa  	 77
procede  	 1
vos  	 90
digo  	 157
acuitedes  	 1
mostredes  	 1
serviros  	 11
entendido  	 8
señoras  	 23
talle  	 15
acrecentaba  	 1
ellas  	 67
enojo  	 24
pasara  	 8
adelante  	 87
ventero  	 98
gordo  	 2
pacífico  	 6
viendo  	 96
figura  	 49
contrahecha  	 3
armada  	 8
desiguales  	 3
brida  	 1
coselete  	 1
estuvo  	 34
nada  	 76
acompañar  	 3
muestras  	 42
temiendo  	 5
tantos  	 66
pertrechos  	 4
determinó  	 18
hablarle  	 3
comedidamente  	 2
busca  	 14
posada  	 7
amén  	 5
lecho  	 16
hallará  	 10
abundancia  	 6
humildad  	 7
alcaide  	 6
respondió  	 395
castellano  	 15
cualquiera  	 21
arreos  	 1
descanso  	 9
pelear  	 2
etc  	 2
pensó  	 16
huésped  	 23
haberle  	 16
llamado  	 23
parecido  	 13
senos  	 2
castilla  	 6
andaluz  	 1
playa  	 2
sanlúcar  	 2
ladrón  	 16
caco  	 2
maleante  	 2
estudiante  	 14
paje  	 3
eso  	 148
camas  	 4
serán  	 9
duras  	 5
peñas  	 11
siempre  	 68
velar  	 4
siendo  	 56
puede  	 139
apear  	 4
seguridad  	 11
hallar  	 34
choza  	 2
estribo  	 3
apeó  	 3
dificultad  	 4
trabajo  	 39
desayunado  	 2
tuviese  	 39
cuidad  	 1
pieza  	 13
comía  	 3
pan  	 19
miróle  	 4
acomodándole  	 1
volvió  	 53
mandaba  	 10
desarmando  	 1
reconciliado  	 1
quitado  	 15
peto  	 2
espaldar  	 2
supieron  	 3
desencajarle  	 1
gola  	 1
quitarle  	 4
traía  	 49
atada  	 3
cintas  	 2
verdes  	 5
menester  	 89
cortarlas  	 1
poderse  	 4
queitar  	 1
nudos  	 1
consentir  	 4
ninguna  	 69
graciosa  	 3
extraña  	 13
pudiera  	 45
pensar  	 44
desarmarle  	 2
traídas  	 1
llevadas  	 1
desarmaban  	 1
algunas  	 50
principales  	 10
donaire  	 22
nunca  	 74
servido  	 25
aldea  	 28
curaban  	 1
princesas  	 5
rocino  	 2
descubrirme  	 2
fasta  	 6
fazañas  	 5
fechas  	 1
pro  	 8
descubrieran  	 1
acomodar  	 4
presente  	 16
romance  	 10
viejo  	 13
lanzarote  	 5
sepáis  	 4
sazón  	 35
vendrá  	 11
señorías  	 2
manden  	 2
obedezca  	 1
descubra  	 3
tengo  	 184
oír  	 41
retóricas  	 2
respondían  	 2
palabra  	 93
preguntaron  	 2
comer  	 43
yantaría  	 1
entiendo  	 20
haría  	 31
dicha  	 16
acertó  	 14
aquél  	 18
raciones  	 1
pescado  	 2
abadejo  	 2
andalucía  	 9
bacalao  	 2
otras  	 137
curadillo  	 1
truchuela  	 2
preguntáronle  	 5
ventura  	 67
comería  	 2
haya  	 60
truchuelas  	 2
podrán  	 8
servir  	 21
trueba  	 1
da  	 44
den  	 10
reales  	 12
sencillos  	 1
ternera  	 1
cabrito  	 1
cabrón  	 1
sea  	 132
fuere  	 30
venga  	 26
peso  	 4
gobierno  	 6
tripas  	 3
pusiéronle  	 1
mesa  	 12
fresco  	 3
trájole  	 2
porción  	 1
remojado  	 1
peor  	 25
cocido  	 2
negro  	 8
mugriento  	 1
materia  	 8
grande  	 102
verle  	 15
alzada  	 1
boca  	 54
manos  	 110
ponía  	 20
sería  	 41
beber  	 10
posible  	 70
horadara  	 1
caña  	 19
echando  	 4
paciencia  	 24
trueco  	 6
romper  	 6
estando  	 47
castrador  	 1
sonó  	 1
silbato  	 1
cañas  	 2
cinco  	 13
acabó  	 31
confirmar  	 5
servían  	 1
música  	 6
truchas  	 1
candeal  	 3
rameras  	 1
empleada  	 6
determinación  	 21
fatigaba  	 7
verse  	 24
legítimamente  	 2
recibir  	 7
3  	 1
cuenta  	 103
armarse  	 1
fatigado  	 3
abrevió  	 1
venteril  	 1
limitada  	 1
cena  	 7
acabada  	 9
encerrándose  	 1
hincó  	 5
diciéndole  	 25
levantaré  	 3
estoy  	 42
cortesía  	 19
otorgue  	 2
pedirle  	 6
redundará  	 2
alabanza  	 9
humano  	 11
pies  	 63
oyó  	 28
confuso  	 17
mirándole  	 4
decirle  	 24
porfiaba  	 2
levantase  	 4
otorgaba  	 1
pedía  	 16
esperaba  	 14
magnificencia  	 3
pedido  	 9
liberalidad  	 11
otorgado  	 2
habéis  	 50
capilla  	 3
velaré  	 1
cumplirá  	 2
poder  	 64
ir  	 71
buscando  	 25
menesterosos  	 14
está  	 201
cargo  	 25
inclinado  	 3
socarrón  	 3
barruntos  	 3
creerlo  	 1
reír  	 8
seguirle  	 1
humor  	 11
acertado  	 12
prosupuesto  	 5
propio  	 6
gallarda  	 5
presencia  	 23
ansimesmo  	 12
mocedad  	 2
honroso  	 6
andando  	 7
diversas  	 11
hubiese  	 35
dejado  	 23
percheles  	 1
málaga  	 6
islas  	 2
riarán  	 1
compás  	 3
azoguejo  	 1
segovia  	 4
olivera  	 1
valencia  	 6
rondilla  	 1
granada  	 4
potro  	 2
córdoba  	 7
ventillas  	 1
toledo  	 8
ejercitado  	 1
ligereza  	 15
sutileza  	 2
haciendo  	 28
recuestando  	 1
viudas  	 3
engañando  	 1
pupilos  	 1
dándose  	 1
conocer  	 24
cuantas  	 9
audiencias  	 1
tribunales  	 1
españa  	 36
último  	 12
venido  	 24
recoger  	 2
ajenas  	 6
calidad  	 20
partiesen  	 2
shaberes  	 1
pago  	 14
díjole  	 14
derribada  	 3
sabía  	 40
podían  	 21
quiera  	 22
patio  	 5
dios  	 200
harían  	 4
debidas  	 2
ceremonias  	 6
quedase  	 10
preguntóle  	 4
dineros  	 30
blanca  	 10
historias  	 17
traído  	 17
engañaba  	 3
escribía  	 2
haberles  	 4
escribir  	 18
clara  	 31
necesaria  	 5
traerse  	 2
camisas  	 7
creer  	 36
trajeron  	 1
cierto  	 61
averiguado  	 6
están  	 49
llenos  	 8
atestados  	 1
llevaban  	 17
erradas  	 1
bolsas  	 1
sucederles  	 1
asimismo  	 21
arqueta  	 1
pequeña  	 11
llena  	 10
ungüentos  	 3
curar  	 8
recibían  	 2
campos  	 10
desiertos  	 3
combatían  	 1
salían  	 5
heridos  	 6
curase  	 2
socorría  	 1
trayendo  	 3
aire  	 15
nube  	 5
doncella  	 77
redoma  	 5
agua  	 44
virtud  	 32
gustando  	 1
gota  	 4
quedaban  	 7
sanos  	 2
llagas  	 1
tenido  	 36
tuvieron  	 17
pasados  	 14
acertada  	 4
escuderos  	 19
proveídos  	 1
necesarias  	 4
hilas  	 6
curarse  	 3
sucedía  	 4
tales  	 84
pocas  	 15
raras  	 7
mismos  	 8
alforjas  	 18
sutiles  	 3
ancas  	 10
importancia  	 14
semejante  	 17
admitido  	 2
consejo  	 25
aún  	 68
mandar  	 8
ahijado  	 1
presto  	 50
caminase  	 1
sn  	 1
referidas  	 5
vería  	 6
cuán  	 45
pensase  	 6
prometióle  	 1
aconsejaba  	 4
puntualidad  	 7
velase  	 1
lado  	 30
recogiéndolas  	 1
puso  	 72
pila  	 5
junto  	 61
pozo  	 5
embrazando  	 3
asió  	 11
continente  	 12
pasear  	 1
paseo  	 1
comenzaba  	 7
cerrar  	 6
contó  	 30
vela  	 12
armazón  	 1
admirándose  	 2
fuéronselo  	 1
mirar  	 36
desde  	 92
sosegado  	 7
ademán  	 5
paseaba  	 2
arrimado  	 3
quitarlos  	 1
espacio  	 37
luna  	 10
competir  	 2
prestaba  	 1
visto  	 135
antojósele  	 2
recua  	 4
quitar  	 23
viéndole  	 13
alta  	 33
atrevido  	 9
llegas  	 1
ciñó  	 1
mira  	 35
haces  	 7
toques  	 1
quieres  	 28
vida  	 200
tu  	 155
atrevimiento  	 10
curó  	 4
arriero  	 18
curara  	 2
salud  	 12
trabando  	 2
correas  	 1
arrojó  	 9
alzó  	 20
cielo  	 137
acorredme  	 1
mía  	 89
afrenta  	 2
avasallado  	 1
pecho  	 54
ofrece  	 8
desfallezca  	 1
trance  	 13
favor  	 27
amparo  	 6
soltando  	 1
golpe  	 18
cabeza  	 95
derribó  	 5
suelo  	 67
maltrecho  	 7
secundara  	 1
maestro  	 7
recogió  	 4
pasearse  	 1
reposo  	 12
saberse  	 5
pasado  	 34
aturdido  	 1
misma  	 48
mulos  	 2
desembarazar  	 1
hablar  	 49
pedir  	 17
soltó  	 8
vez  	 96
segundo  	 21
abrió  	 13
ruido  	 21
acudió  	 22
gente  	 84
vigor  	 1
debilitado  	 2
vuelvas  	 5
tamaña  	 4
atendiendo  	 2
cobró  	 2
ánimo  	 32
acometieran  	 1
volviera  	 3
atrás  	 6
compañeros  	 15
comenzaron  	 16
llover  	 5
piedras  	 12
reparaba  	 4
osaba  	 6
apartar  	 5
desamparar  	 2
voces  	 73
dejasen  	 5
libraría  	 1
matase  	 1
llamándolos  	 1
alevosos  	 1
traidores  	 2
follón  	 4
nacido  	 15
consentía  	 2
tratasen  	 2
hubiera  	 42
recibido  	 7
alevosía  	 3
vosotros  	 27
soez  	 4
baja  	 15
canalla  	 5
hago  	 36
tirad  	 1
llegad  	 1
venid  	 6
ofendedme  	 1
pudiéredes  	 1
veréis  	 9
lleváis  	 4
demasía  	 4
brío  	 5
denuedo  	 7
infundió  	 2
temor  	 36
acometían  	 1
persuasiones  	 2
dejaron  	 14
tirar  	 1
retirar  	 2
quietud  	 8
sosiego  	 23
burlas  	 10
abreviar  	 2
negra  	 7
desgracia  	 42
sucediese  	 7
llegándose  	 8
disculpó  	 1
insolencia  	 3
usado  	 8
supiese  	 13
castigado  	 4
restaba  	 2
tampoco  	 14
toque  	 7
quedar  	 26
pescozada  	 1
espaldarazo  	 2
noticia  	 23
ceremonial  	 1
cumplido  	 9
tocaba  	 10
elar  	 1
solas  	 17
horas  	 22
cumplía  	 2
creyó  	 13
pronto  	 1
obedecerle  	 2
concluyese  	 2
mayor  	 67
brevedad  	 14
acometido  	 1
viva  	 5
excepto  	 2
mandase  	 3
respeto  	 16
advertido  	 8
medroso  	 7
trajo  	 1
asentaba  	 2
paja  	 4
cebada  	 8
muchacho  	 19
dichas  	 3
hincar  	 5
manual  	 1
devota  	 2
oración  	 2
leyenda  	 4
dióle  	 2
cuello  	 15
tras  	 44
murmurando  	 4
dientes  	 20
rezaba  	 2
ciñese  	 1
desenvoltura  	 13
discreción  	 26
poca  	 29
reventar  	 4
cada  	 91
proezas  	 2
raya  	 5
ceñirle  	 1
haga  	 31
venturoso  	 6
dé  	 36
lides  	 1
preguntó  	 45
llamaba  	 45
quedaba  	 22
obligado  	 21
